Abertamy	12.8182773|50.3687554|Karlovy Vary|Karlovarský kraj
Adamov	16.6638551|49.2956081|Blansko|Jihomoravský kraj
Adršpach	16.0834014|50.6242869|Náchod|Královéhradecký kraj
Albrechtice	18.524445|49.7864523|Karviná|Moravskoslezský kraj
Albrechtice nad Orlicí	16.064372|50.1397855|Rychnov nad Kněžnou|Královéhradecký kraj
Albrechtice nad Vltavou	14.3028294|49.2532372|Písek|Jihočeský kraj
Albrechtice v Jizerských horách	15.2757135|50.7622995|Jablonec nad Nisou|Liberecký kraj
Albrechtičky	18.0955268|49.7016897|Nový Jičín|Moravskoslezský kraj
Alojzov	17.0414889|49.4234405|Prostějov|Olomoucký kraj
Andělská Hora	17.3890916|50.0608106|Bruntál|Moravskoslezský kraj
Anenská Studánka	16.5402298|49.8497561|Ústí nad Orlicí|Pardubický kraj
Archlebov	17.0048111|49.0435888|Hodonín|Jihomoravský kraj
Arneštovice	15.1178005|49.5324946|Pelhřimov|Kraj Vysočina
Arnolec	15.8220208|49.4361366|Jihlava|Kraj Vysočina
Arnoltice	14.2639549|50.8370239|Děčín|Ústecký kraj
Aš	12.1950127|50.2238827|Cheb|Karlovarský kraj
Babice	17.4767267|49.1237593|Uherské Hradiště|Zlínský kraj	14.7158067|50.0079885|Praha-východ|Středočeský kraj	17.2608655|49.7378287|Olomouc|Olomoucký kraj	15.7688553|49.1242343|Třebíč|Kraj Vysočina	15.5855169|50.1920961|Hradec Králové|Královéhradecký kraj	14.2375769|49.0247654|Prachatice|Jihočeský kraj
Babice nad Svitavou	16.6961349|49.2833016|Brno-venkov|Jihomoravský kraj
Babice u Rosic	16.3581729|49.172978|Brno-venkov|Jihomoravský kraj
Babylon	12.8627931|49.3986612|Domažlice|Plzeňský kraj
Bačalky	15.1534303|50.3849472|Jičín|Královéhradecký kraj
Bačetín	16.2333156|50.2997774|Rychnov nad Kněžnou|Královéhradecký kraj
Bačice	16.0274876|49.0838783|Třebíč|Kraj Vysočina
