Brooklyn	brooklyn
Queens	queens
Manhattan	manhattan
Center	center
Central Park	central park
Lincoln Center	lincoln center
Lincoln Harbor	lincoln harbor
Port Imperial	port imperial
Rockefeller Center	rockefeller center
Penn Station	penn station
Queens Village	queens village
Florenc	florenc
Cypress Avenue	cypress avenue
Stewart Manor	stewart manor
New Hyde Park	new hyde park
Merillon Avenue	merillon avenue
Washington Square	washington square
Hoboken	hoboken
Newark	newark
Canarsie Rockaway	canarsie rockaway
Merillon	merillon
Main Station	main station
Florenc	florenc
101 AV /100 ST	hundred and first avenue hundredth street; hundred and first avenue and hundredth street; hundred and first avenue on hundredth street; hundredth street hundred and first avenue; one hundred and first avenue one hundredth street; one hundred and first avenue and one hundredth street; one hundred and first avenue on one hundredth street; one hundredth street one hundred and first avenue
101 AV /104 ST	hundred and first avenue hundred and fourth street; hundred and first avenue and hundred and fourth street; hundred and first avenue on hundred and fourth street; hundred and fourth street hundred and first avenue; one hundred and first avenue one hundred and fourth street; one hundred and first avenue and one hundred and fourth street; one hundred and first avenue on one hundred and fourth street; one hundred and fourth street one hundred and first avenue
101 AV /105 ST	hundred and first avenue hundred and fifth street; hundred and first avenue and hundred and fifth street; hundred and first avenue on hundred and fifth street; hundred and fifth street hundred and first avenue; one hundred and first avenue one hundred and fifth street; one hundred and first avenue and one hundred and fifth street; one hundred and first avenue on one hundred and fifth street; one hundred and fifth street one hundred and first avenue
101 AV /106 ST	hundred and first avenue hundred and sixth street; hundred and first avenue and hundred and sixth street; hundred and first avenue on hundred and sixth street; hundred and sixth street hundred and first avenue; one hundred and first avenue one hundred and sixth street; one hundred and first avenue and one hundred and sixth street; one hundred and first avenue on one hundred and sixth street; one hundred and sixth street one hundred and first avenue
101 AV /107 ST	hundred and first avenue hundred and seventh street; hundred and first avenue and hundred and seventh street; hundred and first avenue on hundred and seventh street; hundred and seventh street hundred and first avenue; one hundred and first avenue one hundred and seventh street; one hundred and first avenue and one hundred and seventh street; one hundred and first avenue on one hundred and seventh street; one hundred and seventh street one hundred and first avenue
101 AV /108 ST	hundred and first avenue hundred and eighth street; hundred and first avenue and hundred and eighth street; hundred and first avenue on hundred and eighth street; hundred and eighth street hundred and first avenue; one hundred and first avenue one hundred and eighth street; one hundred and first avenue and one hundred and eighth street; one hundred and first avenue on one hundred and eighth street; one hundred and eighth street one hundred and first avenue
101 AV /109 ST	hundred and first avenue hundred and ninth street; hundred and first avenue and hundred and ninth street; hundred and first avenue on hundred and ninth street; hundred and ninth street hundred and first avenue; one hundred and first avenue one hundred and ninth street; one hundred and first avenue and one hundred and ninth street; one hundred and first avenue on one hundred and ninth street; one hundred and ninth street one hundred and first avenue
101 AV /111 ST	hundred and first avenue hundred and eleventh street; hundred and first avenue and hundred and eleventh street; hundred and first avenue on hundred and eleventh street; hundred and eleventh street hundred and first avenue; one hundred and first avenue one hundred and eleventh street; one hundred and first avenue and one hundred and eleventh street; one hundred and first avenue on one hundred and eleventh street; one hundred and eleventh street one hundred and first avenue
101 AV /113 ST	hundred and first avenue hundred and thirteenth street; hundred and first avenue and hundred and thirteenth street; hundred and first avenue on hundred and thirteenth street; hundred and thirteenth street hundred and first avenue; one hundred and first avenue one hundred and thirteenth street; one hundred and first avenue and one hundred and thirteenth street; one hundred and first avenue on one hundred and thirteenth street; one hundred and thirteenth street one hundred and first avenue
101 AV /115 ST	hundred and first avenue hundred and fifteenth street; hundred and first avenue and hundred and fifteenth street; hundred and first avenue on hundred and fifteenth street; hundred and fifteenth street hundred and first avenue; one hundred and first avenue one hundred and fifteenth street; one hundred and first avenue and one hundred and fifteenth street; one hundred and first avenue on one hundred and fifteenth street; one hundred and fifteenth street one hundred and first avenue
