#all cities of United States for weather info purposes (possibly world known cities)
#city	state
Aaron	aaron
Aaronsburg	aaronsburg
Abac	abac
Abbeville	abbeville
Abbotsford	abbotsford
Abbott	abbott
Abbott Park	abbott park
Abbottstown	abbottstown
Abbot Village	abbot village
Abbyville	abbyville
Abell	abell
Aberdeen	aberdeen
Aberdeen Proving	aberdeen proving
Abernathy	abernathy
Abie	abie
Abilene	abilene
Abingdon	abingdon
Abington	abington
Abiquiu	abiquiu
Abita Springs	abita springs
Abraham	abraham
Abrams	abrams
Absaraka	absaraka
Absarokee	absarokee
Academy	academy
Acampo	acampo
Accident	accident
Accokeek	accokeek
Accomac	accomac
Accord	accord
Acequia	acequia
Ackerly	ackerly
Ackerman	ackerman
Ackley	ackley
Ackworth	ackworth
Acmar	acmar
Acme	acme
Acra	acra
Acton	acton
Acushnet	acushnet
Acworth	acworth
Ada	ada
Adah	adah
Adair	adair
Adairsville	adairsville
Adairville	adairville
Adamant	adamant
Adams	adams
Adams Basin	adams basin
Adamsburg	adamsburg
Adams Center	adams center
Adams Mills	adams mills
Adamstown	adamstown
Adamsville	adamsville
Addis	addis
Addison	addison
Addison Township	addison township
Addy	addy
Addyston	addyston
Adel	adel
Adelaide	adelaide
Adelanto	adelanto
Adell	adell
Adelphi	adelphi
Adena	adena
Adger	adger
Adin	adin
Adirondack	adirondack
Adkins	adkins
Admire	admire
Adolphus	adolphus
Adona	adona
Adrian	adrian
Advance	advance
Advance Mills	advance mills
Advent	advent
Affton	affton
Aflex	aflex
Afton	afton
Agar	agar
Agate	agate
Agawam	agawam
Agency	agency
Agency Village	agency village
Agenda	agenda
Ages Brookside	ages brookside
Agness	agness
Agnew	agnew
Agnos	agnos
Agra	agra
Agricola	agricola
Agua Dulce	agua dulce
Aguanga	aguanga
Aguilar	aguilar
Ahoskie	ahoskie
Ahsahka	ahsahka
Ahwahnee	ahwahnee
Aiea	aiea
Aiken	aiken
Ailey	ailey
Aimwell	aimwell
Ainsworth	ainsworth
Airlie	airlie
Airport	airport
Airville	airville
Aitkin	aitkin
Akaska	akaska
Akeley	akeley
Akhiok	akhiok
Akiachak	akiachak
Akiak	akiak
Akron	akron
Akutan	akutan
Alabama	alabama
Aladdin	aladdin
Alakanuk	alakanuk
Alameda	alameda
Alamo	alamo
Alamogordo	alamogordo
Alamo Heights	alamo heights
Alamosa	alamosa
Alamota	alamota
Alanson	alanson
Alapaha	alapaha
Alba	alba
Albany	albany
Albee	albee
Albemarle	albemarle
Alberene	alberene
Albers	albers
Alberta	alberta
Albert	albert
Albert City	albert city
Albert Lea	albert lea
Alberton	alberton
Albertson	albertson
Albertville	albertville
Albia	albia
Albin	albin
Albion	albion
Alborn	alborn
Albright	albright
Albrightsville	albrightsville
Albuquerque	albuquerque
Alburg	alburg
Alburnett	alburnett
Alburtis	alburtis
Alcalde	alcalde
Alcester	alcester
Alcoa	alcoa
Alco	alco
Alcolu	alcolu
Alcova	alcova
Alcove	alcove
Alda	alda
Alden	alden
Alden Manor	alden manor
Aldenville	aldenville
Alder Creek	alder creek
Aldie	aldie
Aldrich	aldrich
Aledo	aledo
Aleknagik	aleknagik
Aleppo	aleppo
Alex	alex
Alexander	alexander
Alexander Mills	alexander mills
Alexandria	alexandria
Alexis	alexis
Alford	alford
Alfred	alfred
Alfred Station	alfred station
Alger	alger
Algodones	algodones
Algoma	algoma
Algona	algona
Algood	algood
Alhambra	alhambra
Alice	alice
Aliceville	aliceville
Alicia	alicia
Aline	aline
Aliso Viejo	aliso viejo
Alix	alix
Alkabo	alkabo
Alkol	alkol
