Aaron	36.812827|-85.199114|Kentucky
Aaronsburg	40.876944|-77.387977|Pennsylvania
Abac	31.451722|-83.498867|Georgia
Abbeville	31.575479|-85.279044|Alabama
Abbeville	31.964840|-83.306845|Georgia
Abbeville	34.181860|-82.378452|South Carolina
Abbeville	34.455553|-89.568835|Mississippi
Abbotsford	44.964057|-90.299438|Wisconsin
Abbott	31.891642|-97.067146|Texas
Abbott Park	42.318901|-87.847819|Illinois
Abbottstown	39.888099|-76.993077|Pennsylvania
Abbot Village	45.279838|-69.525140|Maine
Abbyville	37.962597|-98.207103|Kansas
Abell	38.249554|-76.744104|Maryland
Aberdeen	33.828439|-88.538033|Mississippi
Aberdeen	35.121641|-79.445039|North Carolina
Aberdeen	38.670864|-83.763723|Ohio
Aberdeen	39.510886|-76.180540|Maryland
Aberdeen	45.466109|-98.485642|South Dakota
Aberdeen	46.984293|-123.796290|Washington
Aberdeen Proving	39.472434|-76.130295|Maryland
Abernathy	33.849961|-101.861111|Texas
Abie	41.347901|-96.956282|Nebraska
Abilene	32.392038|-99.774578|Texas
Abilene	32.417830|-99.721448|Texas
Abilene	32.431987|-99.772374|Texas
Abilene	32.467852|-99.761916|Texas
Abilene	32.468155|-99.718208|Texas
Abilene	38.937144|-97.206320|Kansas
Abingdon	36.691644|-82.019989|Virginia
Abingdon	39.474440|-76.299726|Maryland
Abingdon	40.802312|-90.400898|Illinois
Abington	42.116715|-70.954293|Massachusetts
Abiquiu	36.176923|-106.244859|New Mexico
Abita Springs	30.483696|-90.004072|Louisiana
Abraham	37.697802|-81.102300|West Virginia
Abrams	44.786930|-88.057101|Wisconsin
Absaraka	47.014359|-97.388769|North Dakota
Absarokee	45.515356|-109.469171|Montana
Academy	43.402420|-98.889656|South Dakota
Acampo	38.200413|-121.218576|California
Accident	39.635504|-79.308467|Maryland
Accokeek	38.671992|-77.016217|Maryland
Accomac	37.715880|-75.680272|Virginia
Accord	41.808308|-74.235336|New York
Acequia	42.621467|-113.666990|Idaho
Ackerly	32.609085|-101.795132|Texas
Ackerman	33.351684|-89.201390|Mississippi
Ackley	42.552722|-93.060835|Iowa
Ackworth	41.373720|-93.376719|Iowa
Acmar	33.584132|-86.515570|Alabama
Acme	31.301618|-91.821563|Louisiana
