lemma:	##
Karlův_;Y_/(*3el)	7349
Masarykův_;S_/(*2)	3104
prezidentův_/(*2)	2879
Klausův_;S_/(*2)	2291
Zemanův-1_;S_/(*4-1)	2032
autorův_/(*2)	1952
Havlíčkův-1_;S_/(*5ek-1)	1583
Jindřichův_;Y_/(*2)	1355
Nobelův_/(*2)	1331
Havlův_;S_/(*3el)	1283
Mečiarův_;S_/(*2)	1261
otcův_/(*3ec)	1132
Jelcinův_;S_/(*2)	1039
Kristův-1_;S_/(*4-1)	1009
Clintonův_;S_/(*2)	989
Dvořákův_;S_/(*2)	959
Ježíšův_;Y_/(*2)	900
Janáčkův_;S_/(*3ek)	880
Husův_;S_/(*2)	829
matčin_/(*3ka)	822
Mozartův_;S_/(*2)	783
soupeřův_/(*2)	750
Hitlerův_;S_/(*2)	736
Smetanův_;S_/(*2a)	704
Benešův_;S_/(*2)	655
premiérův_/(*2)	653
ministrův_/(*2)	596
Stalinův_;S_/(*2)	549
Špindlerův_;S_/(*2)	544
Kafkův_;S_/(*2a)	532
sládkův_/(*3ek)	518
pekařův_/(*2)	515
Shakespearův_;S_/(*2e)	481
umělcův_/(*3ec)	472
básníkův_/(*2)	471
Jiráskův_;S_/(*3ek)	458
Davisův-2_;S_/(*4-2)	438
Čapkův_;S_/(*3ek)	437
Jungmannův_;S_/(*2)	418
Králův_;S_/(*2)	407
Kunderův_;S_/(*2a)	407
Luxův_;S_/(*2)	400
Miloševičův_;S_/(*2)	398
Máchův_;S_/(*2a)	381
Beethovenův_;S_/(*2)	372
Davidův_;Y_/(*2)	369
Křižíkův_;S_/(*2)	368
Malevičův_;S_/(*2)	364
Sezimův-1_;S_/(*4a-1)	362
císařův_/(*2)	357
Vodičkův_;S_/(*2a)	355
Rumlův_;S_/(*2)	352
pacientův_/(*2)	344
manželův_/(*2)	344
Žižkův_;S_/(*2a)	339
Kohlův_;S_/(*2)	333
maminčin_/(*3ka)	332
Haškův_;S_/(*3ek)	328
domův-1_,t_/(šlechtický_titul)_(*4-1)	324
Františkův_;Y_/(*3ek)	321
ďáblův_/(*3el)	313
Svobodův_;S_/(*2a)	311
králův_/(*2)	310
papežův_/(*2)	307
Stanleyův_;S	303
hrabalův_/(*2)	300
Tylův_;S_/(*2)	299
Goethův_;S_/(*2e)	289
autorčin_/(*3)	289
Nietzschův_;S_/(*2e)	286
babiččin_/(*3ka)	283
Klicperův_;S_/(*2a)	281
Leninův-2_;S_/(*4-2)	275
Janův_;Y_/(*2)	271
mnichův_/(*2)	271
Svatoplukův_;Y_/(*2)	270
mužův_/(*2)	265
čertův_/(^UV*2)	265
nerudův_/(*2a)	257
Gorbačovův_;S_/(*2)	257
režisérův_/(*2)	252
Náprstkův_;S_/(*3ek)	251
Tyršův_;S_/(*2)	249
synův_/(*2)	247
Wagnerův_;S_/(*2)	244
Šaldův_;S_/(*2a)	244
Bachův_;S_/(*2)	243
Mahenův_;S_/(*2)	241
Demlův_;S_/(*2)	240
dědečkův_/(*3ek)	233
Joyceův_;S	231
Ottův_;S_;Y_/(*2o)	228
Wilsonův_;S_/(*2)	225
Eliotův_;S_;Y_/(*2)	221
královnin_/(*2a)	221
tatínkův_/(*3ek)	220
Seifertův_;S_/(*2)	219
Marshallův_;S_/(*2)	219
Richterův_;S_/(*2)	218
malířův_/(*2)	217
Petrův_;Y_/(*2)	216
spisovatelův_/(*2)	214
Štěpánův_;Y_/(*2)	213
chlapcův_/(*3ec)	213
Sabinův_;Y_/(*2a)	212
Kalvodův_;S_/(*2a)	211
Formanův-1_;S_/(*4-1)	210
Klímův_;S_/(*2a)	208
kolářův_/(*2)	208
Štefánikův_;S_/(*2)	207
skladatelův_/(*2)	203
Alšův-2_;S_/(*5ešův-2)	197
Wolkerův_;S_/(*2)	197
Guinnessův_;S_/(*2)	195
Pavlův-1_;Y	194
Mariin-1_;Y_/(*4e-1)	194
Bendův_;S_/(*2a)	189
Vaculíkův_;S_/(*2)	189
Baťův-3_;S_/(*4a-3)	188
ženin_/(*2a)	186
Zieleniecův_;S_/(*2)	182
Janin_;Y_/(*2a)	180
Rašínův_;S_/(*2)	179
Rabinův_;S_/(*2)	179
Marxův_;S_/(*2)	179
Mackův_;S_/(*2)	179
Rudolfův_;Y_/(*2)	177
Palachův_;S_/(*2)	177
Mahlerův_;S_/(*2)	175
Novákův_;S_/(*2)	175
Rooseveltův_;S_/(*2)	175
starostův_/(*2a)	174
Čechovův_;S_/(*2)	172
mistrův_/(*2)	171
Kolumbův_;S_/(*2us)	170
stehlíkův_/(*2)	169
Blairův_;S_/(*2)	168
Bushův_;S_/(*2)	168
generálův_/(*2)	168
Peroutkův_;S_/(*2a)	167
majorův_/(*2)	167
princův_/(*2)	167
Heřmanův_;S_;Y_/(*2)	167
bratrův_/(*2)	165
Dianin_;Y_/(*2a)	164
kosův_/(*2)	163
tátův_/(*2a)	161
Ježkův_;S_/(*3ek)	161
Walesův_;S_/(*2a)	160
Picassův_;S_/(*2o)	159
Sukův_;S_/(*2)	157
Freudův_;S_/(*2)	157
Pražákův_;E_/(*2)	156
Pithartův_;S_/(*2)	155
Buddhův_;Y_/(*2a)	154
hospodinův_/(*2)	153
Fučíkův_;S_/(*2)	151
Harvardův_;S_/(*2)	150
sultánův_/(*2)	149
manželčin_/(*3)	147
Achillův_;Y_/(*2es)	146
divákův_/(*2)	146
Castrův_;S_/(*2o)	145
Chirakův_;S_/(*2)	144
Vančurův_;S_/(*2a)	144
Jedličkův_;S_/(*2a)	144
Strakův_;S_/(*2a)	143
Spielbergův_;S_/(*2)	143
Jackův_;Y_/(*3ek)	143
hrdinův_/(*2a)	142
Napoleonův_;Y_/(*2)	141
Pilipův_;S_/(*2)	141
Weberův_;S_/(*2)	141
Moravčíkův_;S_/(*2)	141
Jakubův_;Y_/(*2)	140
Hegelův_;S_/(*2)	139
Jehovův_;Y_/(*2a)	138
Matoušův_;Y_/(*2)	136
Kounicův_;S_/(*2)	136
Pinochetův_;S_/(*2)	135
Mojžíšův_;Y_/(*2)	135
Halasův_;S_/(*2)	135
Saddámův_;Y_/(*2)	134
Kavanův_;S_/(*2)	134
Fischerův_;S_/(*2)	134
Cimrmanův_;S_/(*2)	134
Josefův_;Y_/(*2)	133
Weinerův_;S_/(*2)	133
Filipův_;Y_/(*2)	132
Dylanův_;S_/(*2)	132
Mánesův_;S_/(*2)	132
Melantrichův-1_;S_/(*4-1)	131
Netanjahuův_;S_/(*2)	130
pánův_/(*2)	130
Gottwaldův_;S_/(*2)	130
kramářův_/(*2)	130
Kantův_;S_/(*2)	129
rejskův_/(*3ek)	129
hráčův_/(*2)	129
Barrandův_;S	128
Figarův_;S_;Y_/(*2o)	127
Schindlerův_;S_/(*2)	127
Johnův_;S_/(*2)	127
Opletalův_;S_/(*2)	126
Dobsonův_;S_/(*2)	124
primátorův_/(*2)	124
Riegrův_;S_/(*2)	123
sousedův_/(*2)	123
trenérův_/(*2)	123
Holanův_;S_/(*2)	123
Aristotelův_;Y_/(*2es)	122
Lawrencův	122
člověkův_/(^UV*2)	122
Thomayerův_;S_/(*2)	121
Nedvědův_;S_/(*2)	120
Tereziin_;Y_/(*2e)	120
Frankův_;S_/(*3cův)	120
Kirchhoffův_;S_/(*2)	119
lékařův_/(*2)	119
Heideggerův_;S_/(*2)	118
doktorův_/(*2)	118
Sorosův_;S_/(*2)	117
Brahmsův_;S_/(*2)	116
Arafatův_;S_/(*2)	116
Svěrákův_;S_/(*2)	115
Grégrův_;S_/(*2)	115
Čechův-1_;E_/(*4-1)	115
Bezručův_;S_/(*2)	114
Wolkrův_;S_/(*3er)	114
Moravcův_;S_/(*3ec)	113
Kočárníkův_;S_/(*2)	113
Martinův-1_;Y_/(*4-1)	112
Šrámkův_;S_/(*3ek)	111
Gogolův_;S_/(*2)	111
Plečnikův_;S_/(*2)	110
Schröderův_;S_/(*2)	109
Schubertův_;S_/(*2)	109
Damoklův_;S_;Y_/(*2es)	109
Sacharovův_;S_/(*2)	108
princeznin_/(*2a)	107
Zahradníčkův_;S_/(*3ek)	107
Wolfův_;S_/(*2)	107
Puškinův_;S_/(*2)	107
ředitelův_/(*2)	106
Evin_;Y_/(*2a)	106
Markův_;Y_/(*3ek)	106
Nezvalův_;S_/(*2)	105
Viktoriin-1_;Y_/(ženské_jméno)_(*4a-1)	104
Valdštejnův_;S_/(*2)	104
Dudajevův_;S_/(*2)	104
vepřův_/(*2)	102
Patočkův_;S_/(*2a)	102
Jirkův_;Y_/(*2a)	102
kapitánův_/(*2)	100
křesťanův_/(*2)	100
Darwinův_;S_/(*2)	100
Chopinův_;S_/(*2)	99
Jacksonův_;S_/(*2)	98
Frantův_;Y_/(*2a)	98
Sovův_;S_/(*2a)	98
Hornův_;S_/(*2)	98
Haydnův_;S_/(*2)	97
Procházkův_;S_/(*2a)	97
Koračův_;S_/(*2)	97
hercův_/(*3ec)	97
Alláhův_;S_;Y_/(*2)	97
Švehlův_;S_/(*2a)	97
Resslův_;S_/(*2)	97
Gollův_;S_/(*2)	96
Ortenův_;S_/(*2)	96
Němcův-1_;S_/(*5ec-1)	96
Kordův_;S_/(*2a)	96
řidičův_/(*2)	96
Poláčkův_;S_/(*3ek)	95
zpěvákův_/(*2)	95
Kováčův_;S_/(*2)	94
Honeckerův_;S_/(*2)	93
Husajnův_;S_/(*2)	93
Mendelův_;S_/(*2)	93
prokopův_/(*2)	93
Haiderův_;S_/(*2)	92
Kupkův_;S_/(*2a)	92
Muchův_;S_/(*2a)	91
